iter	Passed	Remaining
269	14745	39868
270	14791	39789
271	14835	39706
272	14875	39613
273	14933	39567
274	14976	39482
275	15017	39392
276	15104	39425
277	15152	39353
278	15205	39294
279	15256	39231
280	15296	39139
281	15340	39057
282	15375	38955
283	15413	38859
284	15477	38829
285	15542	38800
286	15583	38715
287	15623	38624
288	15669	38549
289	15708	38458
290	15764	38407
291	15818	38353
292	15872	38299
293	15936	38270
294	16008	38258
295	16069	38220
296	16120	38157
297	16186	38131
298	16228	38048
299	16288	38006
300	16336	37936
301	16393	37889
302	16446	37833
303	16501	37779
304	16539	37689
305	16580	37604
306	16621	37519
307	16664	37441
308	16708	37364
309	16749	37280
310	16793	37203
311	16834	37121
312	16883	37058
313	16924	36974
314	16965	36892
315	17005	36808
316	17044	36724
317	17082	36635
318	17127	36564
319	17170	36487
320	17209	36402
321	17252	36326
322	17293	36247
323	17335	36169
324	17376	36090
325	17414	36004
326	17454	35923
327	17491	35837
328	17532	35756
329	17571	35675
330	17609	35591
331	17646	35504
332	17683	35421
333	17723	35341
334	17762	35259
335	17801	35179
336	17845	35108
337	17883	35025
338	17926	34953
339	17966	34875
340	18009	34803
341	18049	34727
342	18094	34658
343	18144	34600
344	18184	34523
345	18225	34450
346	18278	34397
347	18322	34328
348	18364	34256
349	18414	34198
350	18465	34142
351	18518	34090
352	18566	34030
353	18618	33976
354	18662	33908
355	18704	33836
356	18745	33763
357	18788	33694
358	18831	33624
359	18881	33566
360	18935	33516
361	18979	33450
362	19025	33386
363	19069	33319
364	19120	33265
365	19173	33212
366	19222	33154
367	19268	33091
368	19318	33035
369	19370	32982
370	19415	32917
371	19460	32852
372	19503	32785
373	19552	32727
374	19609	32681
375	19659	32626
376	19707	32567
377	19752	32502
378	19811	32460
379	19870	32420
380	19929	32378
381	19985	32332
382	20035	32275
383	20080	32212
384	20139	32171
385	20189	32115
386	20237	32056
387	20286	31998
388	20339	31946
389	20389	31891
390	20438	31834
391	20487	31776
392	20538	31722
393	20585	31662
394	20634	31604
395	20680	31542
396	20725	31479
397	20775	31423
398	20823	31365
399	20874	31311
400	20942	31283
401	20993	31228
402	21056	31193
403	21108	31140
404	21160	31087
405	21229	31060
406	21284	31011
407	21333	30954
408	21380	30894
409	21425	30831
410	21464	30759
411	21507	30694
412	21544	30621
413	21580	30546
414	21617	30472
415	21664	30412
416	21744	30400
417	21802	30356
418	21870	30325
419	21925	30277
420	21980	30230
421	22059	30213
422	22132	30189
423	22178	30129
424	22219	30061
425	22281	30022
426	22329	29964
427	22375	29904
428	22445	29874
429	22569	29917
430	22618	29860
431	22672	29809
432	22726	29759
433	22778	29706
434	22859	29690
435	22907	29632
436	22954	29573
437	23013	29529
438	23083	29499
439	23143	29455
440	23208	29418
441	23286	29397
442	23344	29351
443	23391	29292
444	23459	29258
445	23531	29229
446	23597	29193
447	23656	29148
448	23696	29079
449	23737	29012
450	23785	28954
451	23833	28895
452	23872	28826
453	23935	28786
454	24005	28753
455	24053	28695
456	24104	28640
457	24148	28577
458	24196	28518
459	24245	28462
460	24310	28423
461	24381	28392
462	24448	28356
463	24504	28306
464	24553	28250
465	24605	28195
466	24649	28133
467	24699	28077
468	24765	28039
469	24821	27989
470	24906	27973
471	24953	27914
472	24997	27851
473	25043	27791
474	25101	27743
475	25145	27681
476	25182	27610
477	25234	27557
478	25283	27500
479	25337	27448
480	25386	27392
481	25426	27325
482	25472	27265
483	25520	27208
484	25572	27154
485	25616	27092
486	25667	27037
487	25736	27002
488	25838	27000
489	25911	26968
490	25988	26941
491	26034	26881
492	26077	26817
493	26122	26757
494	26162	26691
495	26203	26626
496	26261	26578
497	26315	26527
498	26397	26503
499	26472	26472
500	26519	26413
501	26574	26363
502	26640	26323
503	26707	26283
504	26790	26260
505	26860	26223
506	26937	26193
507	27003	26153
508	27066	26109
509	27132	26068
510	27181	26011
511	27249	25972
512	27307	25923
513	27359	25869
514	27398	25802
515	27437	25735
516	27498	25689
517	27541	25627
518	27582	25562
519	27626	25500
520	27666	25435
521	27708	25372
522	27746	25306
523	27788	25243
524	27828	25178
525	27872	25116
526	27915	25054
527	27956	24991
528	27996	24926
529	28033	24860
530	28074	24796
531	28118	24735
532	28157	24671
533	28199	24608
534	28242	24547
535	28293	24493
536	28335	24430
537	28374	24366
538	28421	24308
539	28472	24254
540	28518	24195
541	28563	24136
542	28613	24081
543	28655	24020
544	28691	23953
545	28731	23890
546	28768	23824
547	28803	23757
548	28843	23694
549	28880	23629
550	28922	23568
551	28958	23502
552	28995	23437
553	29032	23372
554	29070	23309
555	29114	23249
556	29152	23186
557	29190	23122
558	29228	23058
559	29269	22997
560	29305	22932
561	29344	22870
562	29382	22807
563	29421	22744
564	29457	22680
565	29494	22616
566	29530	22551
567	29571	22491
568	29607	22426
569	29645	22364
570	29682	22300
571	29721	22239
572	29760	22177
573	29803	22119
574	29844	22059
575	29881	21996
576	29917	21932
577	29959	21873
578	29994	21809
579	30041	21754
580	30087	21697
581	30130	21640
582	30174	21583
583	30214	21522
584	30254	21462
585	30290	21399
586	30329	21338
587	30367	21277
588	30406	21217
589	30442	21155
590	30478	21092
591	30513	21029
592	30552	20969
593	30589	20907
594	30625	20846
595	30662	20784
596	30697	20722
597	30770	20685
598	30855	20656
599	30932	20621
600	31002	20582
601	31073	20543
602	31123	20490
603	31164	20432
604	31207	20374
605	31254	20320
606	31303	20267
607	31342	20207
608	31382	20148
609	31435	20098
610	31481	20043
611	31526	19987
612	31565	19927
613	31603	19867
614	31640	19807
615	31677	19747
616	31729	19695
617	31782	19645
618	31833	19593
619	31965	19591
620	32029	19548
621	32113	19515
622	32175	19470
623	32237	19425
624	32304	19382
625	32364	19335
626	32423	19288
627	32486	19243
628	32549	19198
629	32609	19151
630	32666	19102
631	32732	19059
632	32796	19014
633	32850	18964
634	32900	18911
635	32946	18855
636	32986	18797
637	33025	18738
638	33069	18682
639	33118	18628
640	33156	18569
641	33194	18510
642	33231	18450
643	33274	18394
644	33312	18334
645	33349	18274
646	33399	18222
647	33447	18168
648	33493	18114
649	33537	18058
650	33582	18003
651	33631	17950
652	33670	17892
653	33707	17833
654	33744	17773
655	33786	17717
656	33824	17658
657	33870	17604
658	33917	17550
659	33959	17494
660	33999	17436
661	34039	17379
662	34085	17325
663	34128	17270
664	34165	17211
665	34203	17152
666	34240	17094
667	34277	17035
668	34313	16977
669	34348	16918
670	34389	16861
671	34428	16804
672	34463	16745
673	34500	16687
674	34537	16629
675	34573	16570
676	34610	16512
677	34647	16454
678	34686	16398
679	34722	16339
680	34758	16281
681	34795	16224
682	34838	16169
683	34874	16111
684	34914	16055
685	34950	15997
686	34988	15941
687	35066	15902
688	35254	15913
689	35355	15884
690	35436	15846
691	35508	15804
692	35583	15763
693	35656	15721
694	35713	15672
695	35759	15619
696	35815	15569
697	35872	15520
698	35929	15471
699	35981	15420
700	36047	15375
701	36155	15348
702	36206	15296
703	36259	15245
704	36317	15196
705	36362	15142
706	36406	15087
707	36457	15036
708	36498	14980
709	36545	14926
710	36601	14877
711	36647	14823
712	36691	14769
713	36745	14718
714	36785	14662
715	36838	14611
716	36889	14560
717	36941	14509
718	36984	14454
719	37041	14405
720	37095	14354
721	37142	14301
722	37191	14248
723	37240	14196
724	37310	14152
725	37373	14105
726	37432	14056
727	37499	14010
728	37545	13957
729	37591	13903
730	37635	13849
731	37676	13794
732	37712	13737
733	37751	13681
734	37789	13624
735	37827	13568
736	37871	13514
737	37924	13463
738	37980	13413
739	38039	13365
740	38095	13315
741	38138	13261
742	38183	13207
743	38223	13152
744	38270	13099
745	38311	13044
746	38358	12991
747	38420	12943
748	38487	12897
749	38546	12848
750	38611	12801
751	38656	12748
752	38701	12694
753	38745	12641
754	38791	12587
755	38835	12534
756	38884	12482
757	38935	12430
758	38983	12378
759	39034	12326
760	39099	12279
761	39149	12227
762	39187	12172
763	39227	12117
764	39275	12065
765	39330	12014
766	39387	11965
767	39435	11912
768	39475	11857
769	39516	11803
770	39557	11749
771	39605	11696
772	39659	11646
773	39711	11595
774	39750	11540
775	39789	11485
776	39837	11433
777	39882	11380
778	39928	11327
779	39978	11276
780	40026	11223
781	40080	11173
782	40123	11119
783	40168	11066
784	40213	11013
785	40256	10960
786	40301	10907
787	40338	10852
788	40375	10797
789	40416	10743
790	40465	10691
791	40511	10639
792	40557	10586
793	40602	10534
794	40648	10481
795	40700	10430
796	40760	10381
797	40808	10330
798	40851	10276
799	40896	10224
800	40938	10170
801	40976	10116
802	41015	10062
803	41055	10008
804	41098	9955
805	41136	9901
806	41182	9849
807	41227	9796
808	41266	9742
809	41303	9688
810	41342	9634
811	41384	9581
812	41425	9528
813	41470	9475
814	41509	9422
815	41559	9371
816	41597	9317
817	41633	9263
818	41683	9212
819	41724	9158
820	41763	9105
821	41802	9052
822	41838	8998
823	41889	8947
824	41926	8893
825	41964	8840
826	42003	8786
827	42043	8733
828	42088	8681
829	42128	8628
830	42166	8575
831	42203	8521
832	42242	8468
833	42279	8415
834	42316	8361
835	42354	8308
836	42391	8255
837	42429	8202
838	42466	8149
839	42508	8096
840	42550	8044
841	42589	7991
842	42626	7938
843	42666	7886
844	42703	7833
845	42739	7780
846	42778	7727
847	42817	7674
848	42855	7622
849	42897	7570
850	42940	7518
851	42984	7466
852	43028	7415
853	43076	7364
854	43117	7312
855	43157	7260
856	43199	7208
857	43244	7156
858	43292	7106
859	43334	7054
860	43383	7003
861	43442	6954
862	43493	6904
863	43544	6854
864	43606	6805
865	43670	6757
866	43732	6708
867	43785	6658
868	43833	6607
869	43876	6556
870	43922	6505
871	43971	6454
872	44035	6406
873	44080	6354
874	44123	6303
875	44166	6251
876	44208	6200
877	44249	6148
878	44291	6097
879	44341	6046
880	44387	5995
881	44430	5944
882	44474	5892
883	44515	5841
884	44557	5789
885	44606	5739
886	44649	5688
887	44691	5636
888	44738	5585
889	44784	5535
890	44829	5484
891	44875	5433
892	44920	5382
893	44966	5331
894	45014	5281
895	45066	5230
896	45120	5181
897	45175	5131
898	45228	5081
899	45290	5032
900	45386	4987
901	45467	4939
902	45528	4890
903	45586	4841
904	45654	4792
905	45720	4743
906	45777	4693
907	45845	4645
908	45911	4596
909	45979	4547
910	46061	4499
911	46115	4449
912	46165	4399
913	46220	4348
914	46294	4300
915	46356	4251
916	46411	4200
917	46460	4150
918	46512	4099
919	46561	4048
920	46611	3998
921	46662	3947
922	46739	3899
923	46795	3848
924	46841	3797
925	46893	3747
926	46941	3696
927	46990	3645
928	47053	3596
929	47110	3545
930	47175	3496
931	47247	3447
932	47314	3397
933	47379	3348
934	47433	3297
935	47499	3247
936	47614	3201
937	47701	3152
938	47793	3104
939	47853	3054
940	47902	3003
941	47947	2952
942	47998	2901
943	48060	2851
944	48104	2799
945	48149	2748
946	48204	2697
947	48255	2646
948	48299	2595
949	48347	2544
950	48399	2493
951	48449	2442
952	48506	2392
953	48557	2341
954	48611	2290
955	48655	2239
956	48698	2188
957	48742	2136
958	48784	2085
959	48833	2034
960	48880	1983
961	48924	1932
962	48969	1881
963	49014	1830
964	49062	1779
965	49106	1728
966	49153	1677
967	49194	1626
968	49238	1575
969	49281	1524
970	49322	1473
971	49374	1422
972	49428	1371
973	49477	1320
974	49521	1269
975	49566	1218
976	49612	1167
977	49653	1116
978	49694	1065
979	49735	1015
980	49777	964
981	49819	913
982	49887	862
983	49954	812
984	49998	761
985	50052	710
986	50106	659
987	50148	609
988	50191	558
989	50233	507
990	50273	456
991	50315	405
992	50362	355
993	50401	304
994	50440	253
995	50482	202
996	50542	152
997	50605	101
998	50669	50
999	50715	0
