iter	RMSE
0	129.1496183
1	125.5684677
2	122.3447497
3	119.3834262
4	116.6728765
5	114.3223396
6	112.1038319
7	110.0974119
8	108.2342708
9	106.6859245
10	105.1919066
11	103.9442665
12	102.7964937
13	101.7400026
14	100.7527463
15	99.87532216
16	99.03246979
17	98.23457589
18	97.51658212
19	96.89189397
20	96.30899974
21	95.74889153
22	95.19627557
23	94.70136729
24	94.22676727
25	93.76124182
26	93.36138095
27	92.96701312
28	92.62293844
29	92.28276551
30	91.91706437
31	91.637932
32	91.30493938
33	91.05449719
34	90.83683853
35	90.60973271
36	90.36011314
37	90.11412279
38	89.8611673
39	89.63139822
40	89.42841997
41	89.25533295
42	89.05111655
43	88.78496328
44	88.59193126
45	88.36486263
46	88.11666076
47	87.85631003
48	87.70658079
49	87.55292213
50	87.3439002
51	87.19395386
52	87.08640549
53	86.95880866
54	86.84116089
55	86.72210291
56	86.61629398
57	86.4840268
58	86.37549255
59	86.18916452
60	86.08579044
61	85.97418279
62	85.81652012
63	85.70788445
64	85.51644363
65	85.42502432
66	85.35394689
67	85.1911523
68	85.05895165
69	84.95248585
70	84.84682212
71	84.74079809
72	84.62906939
73	84.4770577
74	84.29953809
75	84.20154917
76	84.10635217
77	84.01319604
78	83.90831703
79	83.78317944
80	83.671342
81	83.60330718
82	83.53664167
83	83.4609652
84	83.39720662
85	83.33038625
86	83.25399645
87	83.20286612
88	83.11593696
89	83.03406039
90	82.94941614
91	82.87937249
92	82.80262347
93	82.75413204
94	82.67336362
95	82.64053484
96	82.59268058
97	82.54540568
98	82.47740943
99	82.41648522
100	82.36895365
101	82.27534197
102	82.21328709
103	82.14056941
104	82.09595874
105	82.00952675
106	81.86338354
107	81.8148135
108	81.7710417
109	81.72687012
110	81.68636385
111	81.61717321
112	81.55292142
113	81.50330052
114	81.45588948
115	81.40957474
116	81.36706991
117	81.30621989
118	81.22382693
119	81.15800005
120	81.0962605
121	81.03972211
122	80.98062841
123	80.92721081
124	80.89681143
125	80.86143026
126	80.76266837
127	80.7224631
128	80.65922734
129	80.5844333
130	80.48025845
131	80.42680545
132	80.38031616
133	80.28883347
134	80.25013318
135	80.18227816
136	80.1224319
137	80.05720094
138	80.00522845
139	79.95416928
140	79.8860146
141	79.82778457
142	79.79545505
143	79.67823993
144	79.62374065
145	79.56846244
146	79.5374369
147	79.48700799
148	79.43092934
149	79.36202232
150	79.31748303
151	79.27349417
152	79.2406773
153	79.20125223
154	79.14009968
155	79.09575389
156	79.06282082
157	79.03397833
158	78.96949592
159	78.93061545
160	78.8850908
161	78.83410588
162	78.78181314
163	78.75174872
164	78.68315549
165	78.63578857
166	78.5826518
167	78.51399602
168	78.45828548
169	78.41774981
170	78.37461253
171	78.33280095
172	78.2935835
173	78.23848398
174	78.18210803
175	78.12726169
176	78.07142878
177	78.03617333
178	77.97249957
179	77.90194667
180	77.8698992
181	77.81690262
182	77.78632284
183	77.73501553
184	77.70716249
185	77.66446633
186	77.62050595
187	77.56560254
188	77.52466295
189	77.49967489
190	77.45223301
191	77.41195102
192	77.37960549
193	77.34478485
194	77.29498049
195	77.25391057
196	77.20370897
197	77.16563512
198	77.10166858
199	77.04988483
200	77.01733807
201	76.98324465
202	76.95248417
203	76.90174867
204	76.76949691
205	76.72270782
206	76.67435105
207	76.65120859
208	76.60873795
209	76.55649807
210	76.52026648
211	76.49959945
212	76.46270668
213	76.42950425
214	76.36169799
215	76.32751864
216	76.28608899
217	76.2648906
218	76.22121156
219	76.1659028
220	76.10698685
221	76.0523094
222	76.02252921
223	75.97950527
224	75.94610757
225	75.90779683
226	75.86224282
227	75.83440071
228	75.79393311
229	75.76980161
230	75.74178337
231	75.71398672
232	75.67298224
233	75.63867529
234	75.59814782
235	75.57212096
236	75.5416052
237	75.51328287
238	75.4681395
239	75.43063766
240	75.39030403
241	75.38380636
242	75.33447732
243	75.29043537
244	75.24729858
245	75.19469944
246	75.16564442
247	75.16080964
248	75.11818795
249	75.08663378
250	75.05704163
251	74.99557558
252	74.97086001
253	74.92909443
254	74.8982238
255	74.8593985
256	74.82045372
257	74.7700384
258	74.73736283
259	74.68913483
260	74.65842746
261	74.59133345
262	74.5611695
263	74.52025855
264	74.49016652
265	74.46764568
266	74.42754818
267	74.39722992
268	74.35503012
269	74.2801923
270	74.23745042
271	74.19950395
272	74.17485908
273	74.13789243
274	74.09242329
275	74.03717751
276	74.01037095
277	73.96848192
278	73.94505262
279	73.90702041
280	73.8608151
281	73.83190577
282	73.76044596
283	73.74573526
284	73.70404268
285	73.6810164
286	73.60302743
287	73.56506694
288	73.54292073
289	73.52202377
